rank,ts_code,name,trade_date,update_time,price,pct_chg,amount,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,pattern_score,liquidity_score,risk_penalty_score,ranking_score,p_limitup_t1_raw,p_limitup_t1,wp_score,feature_coverage,model_confidence,model_version,calibration_method,calibration_sample_count,self_learning_adjustment,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,label_available,next_day_open,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_open_pct,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_open,next_high,next_close,next_low,next_up_limit,backtest_trade_date,backtest_data_mode,calibration_eligible
13,301176.SZ,逸豪新材,20260316,2026-03-16,30.69,11.4784,419255386.0,0,0,元器件,94.13956980565061,82.60446738392623,94.01414251673768,95.8944834146997,62.83521986143591,100.0,21.53527064962124,0.0,70.55528988859649,2.246867424982058,2.246867424982058,88.56878661863786,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、个股强、承接好,风险可控,20260317,0.0,True,30.01,31.45,29.58,29.2,36.83,-2.215705441511895,2.47637666992504,-3.616813294232657,-4.855001629195188,30.01,31.45,29.58,29.2,36.83,20260316,eod_proxy,False
14,688359.SH,三孚新科,20260316,2026-03-16,93.5,9.9871,722502305.0,0,0,化工原料,54.69616890242118,70.85766733578461,92.9382517589936,87.83263642166281,67.80655841943205,97.96295760340946,38.89937750186934,0.0,69.4164864598278,2.148964050753413,2.148964050753413,73.17298522075119,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,个股强、承接好、动量上,风险可控,20260317,0.0,True,93.0,93.0,87.4,87.19,112.2,-0.5347593582887722,-0.5347593582887722,-6.52406417112299,-6.748663101604279,93.0,93.0,87.4,87.19,112.2,20260316,eod_proxy,False
15,688449.SH,联芸科技,20260316,2026-03-16,49.7,8.0435,583028796.0,0,0,半导体,73.95515290937234,52.803375120741016,90.69503791261376,73.15293623612808,67.82248716672086,92.809691661326,32.05621791680217,0.0,69.15506826436587,2.127085487221729,2.127085487221729,72.2644241588709,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,C级,板块强、承接好、动量上,风险可控,20260317,0.0,True,49.7,50.43,48.54,48.4,59.64,0.0,1.46881287726357,-2.3340040241448756,-2.6156941649899457,49.7,50.43,48.54,48.4,59.64,20260316,eod_proxy,False
16,688668.SH,鼎通科技,20260316,2026-03-16,145.51,8.541,1043486532.0,0,0,通信设备,32.59415093621596,55.87761890275031,89.70928443551666,55.77774474464697,73.21906939385995,87.43645313491703,50.62780574989668,0.0,68.94165186497763,2.0726487763021653,2.0726487763021653,58.96101096425224,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,C级,承接好、量价齐、均价上,风险可控,20260317,0.0,True,147.04,149.85,137.39,137.1,174.61,1.0514741254896487,2.982612878839941,-5.5803724829908585,-5.779671500240536,147.04,149.85,137.39,137.1,174.61,20260316,eod_proxy,False
17,300279.SZ,和晶科技,20260316,2026-03-16,11.22,9.0379,604317937.0,0,0,元器件,94.13956980565061,50.95985691585444,54.95702235573949,86.49754705646777,67.50129655477649,81.72256237244372,33.20046238297268,3.993643426495763,68.38915996782234,2.064232281787575,2.064232281787575,70.46084126492936,100.0,84.00158914337607,wp_rule_v2_1,disabled,0,0.0,C级,板块强、动量上、量价齐,回落大,20260317,0.0,True,11.3,11.56,11.12,11.01,13.46,0.7130124777183555,3.0303030303030276,-0.891265597147961,-1.8716577540107027,11.3,11.56,11.12,11.01,13.46,20260316,eod_proxy,False
18,300936.SZ,中英科技,20260316,2026-03-16,65.62,9.4214,776031655.0,0,0,元器件,94.13956980565061,52.39957908749081,36.464212749141716,71.46991003086538,70.69300342236679,67.93906745250179,41.17972955194841,48.706355525582175,65.70648162564144,1.85809880593586,1.85809880593586,54.07126409994899,100.0,72.82341111860445,wp_rule_v2_1,disabled,0,0.0,D级,板块强、动量上、量价齐,回落大,20260317,0.0,True,66.0,71.24,67.39,64.11,78.74,0.5790917403230678,8.564462054251742,2.697348369399566,-2.301127704968009,66.0,71.24,67.39,64.11,78.74,20260316,eod_proxy,False
19,300243.SZ,瑞丰高材,20260316,2026-03-16,17.46,14.8684,1235826599.0,0,0,化工原料,54.69616890242118,76.28787691185028,41.92897398722383,62.44727677322359,65.97989101582314,56.59231977021984,56.02529158243977,32.092972560599996,61.640635008096005,1.5836191243907924,1.5836191243907924,51.515704323399355,100.0,76.97675685985,wp_rule_v2_1,disabled,0,0.0,D级,个股强、新高、破平台,回落大,20260317,0.0,True,16.66,17.3,15.37,15.03,20.95,-4.58190148911799,-0.9163802978235935,-11.970217640320746,-13.917525773195882,16.66,17.3,15.37,15.03,20.95,20260316,eod_proxy,False
20,301220.SZ,亚香股份,20260316,2026-03-16,48.38,11.2695,654400066.0,0,0,化工原料,54.69616890242118,69.66047024677144,63.249816664706415,89.14890094144718,59.97882334665037,78.31696066463311,35.740706014432746,2.0909466721785,61.41912095046244,1.5698686570077096,1.5698686570077096,64.77981535935727,100.0,84.47726333195537,wp_rule_v2_1,disabled,0,0.0,D级,动量上、新高、破平台,回落大,20260317,0.0,True,46.2,47.28,46.6,44.1,58.06,-4.505994212484499,-2.273666804464658,-3.6792062835882655,-8.84663083918975,46.2,47.28,46.6,44.1,58.06,20260316,eod_proxy,False
21,300887.SZ,谱尼测试,20260316,2026-03-16,12.27,8.8731,728896756.0,0,0,电器仪表,18.79961215912951,52.60360866140733,61.58682634350815,85.02176759744147,56.199658546492095,82.62946641293419,39.18050992359932,2.0488997555012816,53.99462360593158,1.1668568944013464,1.1668568944013464,48.84954207795706,94.73684210526315,82.38251190322994,wp_rule_v2_1,disabled,0,0.0,D级,动量上、量价齐、新高,回落大,20260317,0.0,True,12.19,12.57,11.95,11.86,14.72,-0.6519967400163029,2.444987775061125,-2.6079869600652006,-3.341483292583536,12.19,12.57,11.95,11.86,14.72,20260316,eod_proxy,False
22,600337.SH,美克家居,20260316,2026-03-16,2.78,9.0196,444157360.0,0,0,家居用品,15.5,57.222941248644524,93.26443295182845,78.92870117567358,49.350463651193834,90.74463891516868,23.376159127984593,0.0,51.03745565512728,1.0409169274712686,1.0409169274712686,54.973770330971995,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,2.66,2.81,2.74,2.66,3.06,-4.316546762589912,1.0791366906474975,-1.4388489208632893,-4.316546762589912,2.66,2.81,2.74,2.66,3.06,20260316,eod_proxy,False
23,301043.SZ,绿岛风,20260316,2026-03-16,60.01,9.6874,221902510.0,0,0,机械基件,33.364824348953434,58.752468293826496,88.21920127881762,75.91756003596903,45.62126365902737,91.28517700976016,1.2358282216176586,0.0,49.65274831748731,0.9863420110516117,0.9863420110516117,59.05954585389383,100.0,85.0,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,60.25,61.21,58.0,56.06,72.01,0.39993334444259343,1.9996667222129672,-3.349441759706717,-6.582236293951005,60.25,61.21,58.0,56.06,72.01,20260316,eod_proxy,False
24,920571.BJ,国航远洋,20260316,2026-03-16,11.64,10.5413,708846744.0,0,0,水运,22.644616411414727,53.525527656180316,32.26256449849647,62.91616660139459,55.31623423972597,57.83085859479761,38.29058559931493,30.504137562158874,48.83617247595249,0.9549482425838741,0.9549482425838741,33.71602836048102,100.0,77.37396560946029,wp_rule_v2_1,disabled,0,0.0,D级,龙虎榜、热题材、均价上,回落大,20260317,0.0,True,11.29,12.0,11.14,11.11,15.13,-3.0068728522336885,3.092783505154628,-4.295532646048105,-4.553264604811003,11.29,12.0,11.14,11.11,15.13,20260316,eod_proxy,False
25,688295.SH,中复神鹰,20260316,2026-03-16,49.5,9.9511,2195477085.0,0,0,化纤,20.188796460978292,48.33474082437303,25.522231323263586,29.437632438070793,56.80408823850984,36.39167349244769,74.35992175070446,74.988847480516,44.245256051314165,0.8003364138634715,0.8003364138634715,14.941314281190913,94.73684210526315,64.14752497197625,wp_rule_v2_1,disabled,0,0.0,D级,新高、破平台,风险高、回落大,20260317,1.0,True,50.0,59.4,59.4,49.99,59.4,1.0101010101010166,19.999999999999996,19.999999999999996,0.9898989898989852,50.0,59.4,59.4,49.99,59.4,20260316,eod_proxy,False
26,300190.SZ,维尔利,20260316,2026-03-16,4.96,8.2969,562336905.0,0,0,环境保护,26.84123892029605,38.60017444904629,39.19599358577408,82.29838916487294,46.658655940756184,71.1204829937584,30.903309101459676,16.94498635900566,43.98818798133071,0.7879404555588249,0.7879404555588249,37.75709607600462,100.0,80.76375341024858,wp_rule_v2_1,disabled,0,0.0,D级,动量上、新高、破平台,放量急、回落大,20260317,0.0,True,4.87,5.01,4.72,4.71,5.95,-1.814516129032251,1.0080645161290258,-4.838709677419361,-5.040322580645162,4.87,5.01,4.72,4.71,5.95,20260316,eod_proxy,False
27,688628.SH,优利德,20260316,2026-03-16,44.5,8.2462,205154770.0,0,0,电器仪表,18.79961215912951,49.60397981107225,77.04574050719829,83.86035098214641,40.52745457705237,85.94010589555737,0.0,0.0,43.42496196972995,0.7752998577137576,0.7752998577137576,50.185812552644315,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,43.01,46.5,44.53,43.01,53.4,-3.348314606741576,4.494382022471921,0.0674157303370837,-3.348314606741576,43.01,46.5,44.53,43.01,53.4,20260316,eod_proxy,False
28,688367.SH,工大高科,20260316,2026-03-16,38.62,9.9658,176855862.0,0,0,运输设备,15.5,59.39819565378896,73.37838796249261,85.1558484048546,40.0,87.24125344455565,0.0,0.0,43.315862205597696,0.7720290645991511,0.7720290645991511,51.052874018659,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,38.76,39.49,36.3,36.11,46.34,0.3625064733298933,2.2527187985499797,-6.007250129466602,-6.499223200414283,38.76,39.49,36.3,36.11,46.34,20260316,eod_proxy,False
29,920403.BJ,康农种业,20260316,2026-03-16,26.89,9.2645,213471595.0,0,0,种植业,18.5,51.25524274170981,78.09984076773887,76.82454770197961,40.0,82.69626846242623,0.0,0.0,42.94031410968835,0.7608745255582751,0.7608745255582751,49.801047032294505,94.73684210526315,82.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,承接好、动量上、量价齐,风险可控,20260317,0.0,True,26.38,27.37,26.74,25.8,34.95,-1.8966158423205703,1.7850502045370087,-0.5578281889178194,-4.0535515061361105,26.38,27.37,26.74,25.8,34.95,20260316,eod_proxy,False
30,920833.BJ,美心翼申,20260316,2026-03-16,19.9,8.1522,170538409.0,0,0,汽车配件,23.378243865335975,24.574034101346182,8.380064792133073,68.53466476605544,32.281926723356946,30.967244807781412,0.0,100.0,23.03625351615814,0.3511742133418783,0.3511742133418783,1.463016032694263,94.73684210526315,57.89473684210526,wp_rule_v2_1,disabled,0,0.0,D级,动量上、新高,风险高、位置差、放量急,20260317,0.0,True,19.96,20.17,18.49,18.36,25.87,0.3015075376884502,1.3567839195980147,-7.08542713567839,-7.738693467336677,19.96,20.17,18.49,18.36,25.87,20260316,eod_proxy,False
