rank,ts_code,name,trade_date,update_time,price,pct_chg,pre_day_limitup,today_limitup,sector_name,sector_strength_score,stock_strength_score,acceptance_score,momentum_score,capital_score,risk_penalty_score,p_limitup_t1,wp_score,model_confidence,signal_level,core_reason,risk_reason,next_trade_date,label_t1_limitup,next_day_high,next_day_close,next_day_low,next_day_limitup_price,next_day_max_pct,next_day_close_pct,next_day_drawdown_pct,next_high,next_close,next_low,next_up_limit,backtest_trade_date
14,003020.SZ,立方制药,20260701,2026-07-01,16.16,9.1155,0,0,化学制药,100.0,100.0,100.0,57.72894800150152,100.0,0.0,78.67211739250946,94.92084801652443,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,16.78,16.13,15.83,17.78,3.836633663366351,-0.18564356435644136,-2.0420792079207883,16.78,16.13,15.83,17.78,20260701
15,688356.SH,键凯科技,20260701,2026-07-01,81.83,6.1624,0,0,化学制药,100.0,91.43125141055101,79.05085936312392,99.66725109593754,100.0,0.0,78.66795140081548,93.63470983485628,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,84.97,81.78,81.11,98.2,3.83722351215936,-0.061102285225467234,-0.879872907246726,84.97,81.78,81.11,98.2,20260701
16,301281.SZ,科源制药,20260701,2026-07-01,56.29,14.1785,0,0,化学制药,100.0,100.0,74.32233769424694,100.0,100.0,4.777360380666159,78.66467695137075,93.67012744368286,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,59.24,58.05,54.7,67.55,5.240717711849352,3.126665482323676,-2.824658020962867,59.24,58.05,54.7,67.55,20260701
17,688513.SH,苑东生物,20260701,2026-07-01,51.0,16.0146,0,0,化学制药,100.0,100.0,74.40307084715926,100.0,100.0,7.6902743058823475,78.65646608321855,92.92024924843776,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,54.24,52.35,49.51,61.2,6.352941176470583,2.6470588235294246,-2.9215686274509878,54.24,52.35,49.51,61.2,20260701
18,688578.SH,艾力斯,20260701,2026-07-01,125.81,15.2106,0,0,化学制药,100.0,100.0,100.0,100.0,100.0,27.016750602926127,78.65606811540512,93.24581234926846,90.32579556201658,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,134.85,130.87,120.58,150.97,7.185438359430885,4.0219378427788,-4.157062236706144,134.85,130.87,120.58,150.97,20260701
19,002020.SZ,京新药业,20260701,2026-07-01,13.33,6.7254,0,0,化学制药,100.0,91.54469336922209,87.93266836548838,73.24268680603942,100.0,0.0,78.65451498521122,92.55181440568455,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,1,14.66,14.66,14.66,14.66,9.977494373593409,9.977494373593409,9.977494373593409,14.66,14.66,14.66,14.66,20260701
20,688506.SH,百利天恒,20260701,2026-07-01,319.9,8.7984,0,0,化学制药,100.0,100.0,85.70708081392927,100.0,100.0,20.42899717389308,78.64363387849814,92.03416686931259,93.29028460508145,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,353.88,335.5,310.01,383.88,10.622069396686463,4.876523913723041,-3.0915911222256898,353.88,335.5,310.01,383.88,20260701
21,300086.SZ,康芝药业,20260701,2026-07-01,6.4,8.4746,0,0,化学制药,100.0,97.51078927916612,90.69432723486531,54.02670496740695,100.0,0.0,78.64363060266137,92.09802114229316,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,7.4,6.71,6.41,7.68,15.625,4.843749999999991,0.15624999999999112,7.4,6.71,6.41,7.68,20260701
22,300016.SZ,北陆药业,20260701,2026-07-01,8.24,7.4316,0,0,化学制药,100.0,94.26212955412166,94.32963576347159,53.656506938148695,100.0,0.0,78.63715950329708,91.57211023503962,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,8.56,8.18,8.15,9.89,3.8834951456310662,-0.728155339805836,-1.0922330097087318,8.56,8.18,8.15,9.89,20260701
23,300584.SZ,海辰药业,20260701,2026-07-01,39.0,7.6456,0,0,化学制药,100.0,91.77983470019738,93.530962364482,54.96767353136159,100.0,0.0,78.6317800260406,91.04791850108192,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,39.89,37.88,37.88,46.8,2.2820512820512784,-2.871794871794864,-2.871794871794864,39.89,37.88,37.88,46.8,20260701
24,002793.SZ,罗欣药业,20260701,2026-07-01,4.14,7.8125,0,0,化学制药,100.0,100.0,84.21271525627964,46.981859195440876,100.0,0.0,78.62240269064895,90.68688281695387,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,4.27,4.17,4.08,4.55,3.1400966183574797,0.7246376811594235,-1.449275362318836,4.27,4.17,4.08,4.55,20260701
25,688658.SH,悦康药业,20260701,2026-07-01,13.92,8.2426,0,0,化学制药,100.0,100.0,75.82714157337686,56.32303586635549,100.0,0.0,78.61108326917766,89.9056415058307,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,14.38,14.08,13.76,16.7,3.3045977011494365,1.1494252873563315,-1.1494252873563204,14.38,14.08,13.76,16.7,20260701
26,002437.SZ,誉衡药业,20260701,2026-07-01,2.88,6.6667,0,0,化学制药,100.0,93.0786915779174,77.04513811470991,69.27324105954091,100.0,0.0,78.60781909187924,89.4354363880813,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,3.01,2.94,2.84,3.17,4.513888888888884,2.083333333333326,-1.388888888888895,3.01,2.94,2.84,3.17,20260701
27,600513.SH,联环药业,20260701,2026-07-01,15.52,6.74,0,0,化学制药,100.0,91.22699264458848,86.88428203358578,33.66990253865577,100.0,0.0,78.57510919116528,87.81934482172986,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,16.39,15.5,15.4,17.07,5.605670103092786,-0.12886597938144284,-0.773195876288657,16.39,15.5,15.4,17.07,20260701
28,301246.SZ,宏源药业,20260701,2026-07-01,28.94,7.5836,0,0,化学制药,100.0,93.52318435149022,81.08007923757242,41.855982527326844,100.0,0.0,78.56582982262871,87.52973843239454,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,29.07,28.06,27.97,34.73,0.44920525224603214,-3.0407740152038842,-3.3517622667588176,29.07,28.06,27.97,34.73,20260701
29,300996.SZ,普联软件,20260701,2026-07-01,12.45,14.3251,0,0,软件服务,100.0,100.0,100.0,100.0,100.0,55.501950590011354,78.51592167328283,86.12451235249716,77.50745556782822,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,12.45,11.79,11.76,14.94,0.0,-5.301204819277105,-5.542168674698789,12.45,11.79,11.76,14.94,20260701
30,300801.SZ,泰和科技,20260701,2026-07-01,35.45,9.7523,0,0,化工原料,100.0,100.0,100.0,100.0,100.0,55.79273144605968,78.51330909976357,86.04220175386969,77.37660418260647,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,36.12,34.99,33.6,42.54,1.8899858956276328,-1.2976022566995815,-5.218617771509171,36.12,34.99,33.6,42.54,20260701
31,688179.SH,阿拉丁,20260701,2026-07-01,30.21,9.022,0,0,化学制药,100.0,100.0,58.43218020981125,100.0,100.0,25.41962295281662,78.50708409736318,85.26145950799115,91.04450300456585,S级,所属板块强度靠前，个股涨幅和量价强度较高，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，属于当日热门题材，收盘强于日内均衡价格。,冲高回落幅度偏大，历史校准对概率有负向修正。,20260702,0,29.43,26.21,26.0,36.17,-2.581926514399213,-13.240648791790798,-13.935782853359813,29.43,26.21,26.0,36.17,20260701
32,301421.SZ,波长光电,20260701,2026-07-01,121.0,16.8518,0,0,元器件,100.0,100.0,99.72221896966671,100.0,100.0,56.29380772660297,78.50383119352338,85.75742289040609,77.151119856362,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，出现龙虎榜资金线索，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,117.0,112.25,110.0,145.2,-3.3057851239669422,-7.23140495867769,-9.090909090909093,117.0,112.25,110.0,145.2,20260701
33,688068.SH,热景生物,20260701,2026-07-01,93.0,7.3903,0,0,医疗保健,97.21138755219901,100.0,99.77681564846472,100.0,100.0,55.3,78.49688624596669,85.29377939535264,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,1,111.54,110.17,94.67,111.6,19.93548387096775,18.462365591397845,1.7956989247311927,111.54,110.17,94.67,111.6,20260701
34,301592.SZ,六九一二,20260701,2026-07-01,145.56,9.9811,0,0,软件服务,100.0,100.0,100.0,100.0,100.0,59.391481337377336,78.4836035576846,85.15212966565566,75.75716673151354,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,146.29,137.9,137.9,174.67,0.5015114042319357,-5.262434734817257,-5.262434734817257,146.29,137.9,137.9,174.67,20260701
35,300562.SZ,乐心医疗,20260701,2026-07-01,14.4,6.5877,0,0,医疗保健,97.21138755219901,96.44489329738613,100.0,100.0,100.0,55.3,78.47324647117426,84.44963959000623,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,15.54,14.89,14.18,17.28,7.916666666666661,3.402777777777777,-1.5277777777777835,15.54,14.89,14.18,17.28,20260701
36,688091.SH,上海谊众,20260701,2026-07-01,42.69,6.194,0,0,化学制药,100.0,89.17053341190521,63.91508645239296,47.09648901471405,100.0,0.0,78.462745534294,83.68770918348052,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,46.13,44.16,42.88,51.23,8.058093230264717,3.4434293745607913,0.4450691028343945,46.13,44.16,42.88,51.23,20260701
37,002838.SZ,道恩股份,20260701,2026-07-01,32.62,6.5317,0,0,塑料,100.0,90.3004091507539,78.37165341987503,15.337701652465837,100.0,0.0,78.43979686058016,83.41569258838685,97.48333333333333,S级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，量价结构同步，属于当日热门题材，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,34.35,33.35,31.66,35.88,5.30349478847334,2.237890864500325,-2.942979767014098,34.35,33.35,31.66,35.88,20260701
38,300323.SZ,华灿光电,20260701,2026-07-01,22.14,8.5294,0,0,半导体,100.0,100.0,100.0,100.0,100.0,65.13102371539661,78.42717390491654,83.71724407115084,73.17437266140486,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,综合风险偏高，历史校准对概率有负向修正。,20260702,0,22.7,20.69,19.43,26.57,2.5293586269195867,-6.54923215898825,-12.240289069557363,22.7,20.69,19.43,26.57,20260701
39,600999.SH,招商证券,20260701,2026-07-01,22.94,8.7204,0,0,证券,100.0,100.0,81.65245418547335,100.0,100.0,55.3,78.38273741185932,82.49834797995182,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,22.95,21.7,21.7,25.23,0.043591979075841,-5.405405405405417,-5.405405405405417,22.95,21.7,21.7,25.23,20260701
40,688358.SH,祥生医疗,20260701,2026-07-01,35.63,16.5522,0,0,医疗保健,97.21138755219901,100.0,86.4795075550101,100.0,100.0,56.78145728880156,78.37685294504641,82.21627222510672,76.93167755337264,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,35.52,34.0,34.0,42.76,-0.3087285994948008,-4.574796519786705,-4.574796519786705,35.52,34.0,34.0,42.76,20260701
41,603127.SH,昭衍新药,20260701,2026-07-01,40.94,7.1167,0,0,医疗保健,97.21138755219901,95.89926404850408,86.84019429652483,100.0,100.0,55.3,78.35993669813482,81.68127113709069,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,42.5,39.62,39.51,45.03,3.810454323400103,-3.2242305813385497,-3.4929164631167575,42.5,39.62,39.51,45.03,20260701
42,688811.SH,有研复材,20260701,2026-07-01,33.06,6.6452,0,0,小金属,100.0,95.62838178501973,84.4106526197128,99.79491443827541,100.0,55.3,78.35624516651458,81.8200149918797,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,32.98,31.62,30.71,39.67,-0.2419842710223996,-4.355716878402904,-7.108287961282523,32.98,31.62,30.71,39.67,20260701
43,000783.SZ,长江证券,20260701,2026-07-01,10.54,8.1026,0,0,证券,100.0,96.4538789160828,82.59980618853204,100.0,100.0,55.3,78.35027273928755,81.71914525244138,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,10.65,10.05,9.98,11.59,1.0436432637571214,-4.6489563567362335,-5.313092979127121,10.65,10.05,9.98,11.59,20260701
44,601108.SH,财通证券,20260701,2026-07-01,9.21,6.474,0,0,证券,100.0,95.43513470633785,86.07140165255825,93.48124029081976,100.0,55.3,78.34434458408285,81.59618803617809,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,9.24,8.93,8.81,10.13,0.32573289902280145,-3.0401737242128246,-4.343105320304019,9.24,8.93,8.81,10.13,20260701
45,300244.SZ,迪安诊断,20260701,2026-07-01,20.5,9.3917,0,0,医疗保健,97.21138755219901,100.0,83.53921697364225,93.56771996039565,100.0,55.3,78.33490016620375,81.38211532176638,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,20.97,20.31,20.12,24.6,2.2926829268292703,-0.9268292682926838,-1.8536585365853564,20.97,20.31,20.12,24.6,20260701
46,301328.SZ,维峰电子,20260701,2026-07-01,80.6,13.2022,0,0,元器件,100.0,100.0,98.81248803439331,100.0,100.0,72.9691518152633,78.31674603983369,81.52020965306284,69.64721501646484,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，出现龙虎榜资金线索，收盘强于日内均衡价格。,综合风险偏高，历史校准对概率有负向修正。,20260702,0,84.71,80.66,72.56,96.72,5.099255583126561,0.07444168734491718,-9.975186104218349,84.71,80.66,72.56,96.72,20260701
47,300694.SZ,蠡湖股份,20260701,2026-07-01,10.77,12.1875,0,0,汽车配件,82.44607236300831,100.0,97.87398029653366,100.0,100.0,55.3,78.31054989357129,79.97065480524627,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,0,12.02,11.83,10.68,12.92,11.606313834726102,9.842154131847725,-0.835654596100277,12.02,11.83,10.68,12.92,20260701
48,688207.SH,格灵深瞳,20260701,2026-07-01,22.59,12.3881,0,0,软件服务,100.0,100.0,89.40591110224432,100.0,100.0,66.98211920529802,78.30180523247546,81.13565241912436,72.34137969094922,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,综合风险偏高，历史校准对概率有负向修正。,20260702,0,24.5,22.58,21.62,27.11,8.455068614431172,-0.044267374944673143,-4.293935369632573,24.5,22.58,21.62,27.11,20260701
49,605020.SH,永和股份,20260701,2026-07-01,43.99,8.0305,0,0,化工原料,100.0,98.29938295634565,74.68631213252986,100.0,100.0,55.3,78.27935187064483,80.50584131923121,77.59833333333334,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,历史校准对概率有负向修正。,20260702,1,48.39,48.39,41.29,48.39,10.002273243919069,10.002273243919069,-6.137758581495801,48.39,48.39,41.29,48.39,20260701
50,300560.SZ,中富通,20260701,2026-07-01,21.84,14.6457,0,0,通信设备,100.0,100.0,77.90346366160598,100.0,100.0,59.14778675824167,78.27613524691198,80.58987240704,75.86682929212458,C级,所属板块强度靠前，个股涨幅和量价强度较高，收盘位置较好且资金承接较强，短线动量保持向上，量价结构同步，突破阶段高点，突破近20日平台，收盘强于日内均衡价格。,冲高回落幅度偏大，历史校准对概率有负向修正。,20260702,0,22.37,21.04,21.01,26.21,2.4267399267399403,-3.663003663003661,-3.800366300366298,22.37,21.04,21.01,26.21,20260701
