buy_rank,portfolio_group,ts_code,name,rank,price,pct_chg,sector_name,tail_profit_score,tail_profit_model_version,amount_ratio_5d,p_limitup_t1,wp_score,decision_score,model_confidence,risk_penalty_score,acceptance_score,momentum_score,close_position,intraday_pullback_pct,intraday_vwap_position,confirm_before_buy,reject_if,buy_reason,forecast_model_version,forecast_mode,forecast_warning,forecast_sample_count,forecast_live_sample_count,forecast_proxy_sample_count,forecast_effective_sample_count,forecast_confidence,forecast_open_q10_pct,forecast_open_q50_pct,forecast_open_q90_pct,forecast_high_q10_pct,forecast_high_q50_pct,forecast_high_q90_pct,forecast_low_q10_pct,forecast_low_q50_pct,forecast_low_q90_pct,forecast_close_q10_pct,forecast_close_q50_pct,forecast_close_q90_pct,forecast_open_q10_price,forecast_open_q50_price,forecast_open_q90_price,forecast_high_q10_price,forecast_high_q50_price,forecast_high_q90_price,forecast_low_q10_price,forecast_low_q50_price,forecast_low_q90_price,forecast_close_q10_price,forecast_close_q50_price,forecast_close_q90_price,forecast_profit_probability,forecast_touch_plus3_probability,forecast_touch_minus3_probability,forecast_open_below_minus3_probability,forecast_limit_touch_probability,forecast_expected_net_return_pct,forecast_downside_q10_pct,forecast_risk_adjusted_utility,forecast_path_status,buy_flag,decision_action,skip_reason
,,603920.SH,世运电路,11,35.79,8.685089583965988,元器件,52.045455,tail_profit_v1,1.4100453490822005,1.2944406223956593,63.34620712685621,52.045455,72.89473684210526,0.0,80.87228062811005,16.21217293427992,94.98680738786284,0.5308745459625452,3.2801077337437645,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.43,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.5049,9.9995,-7.5769,-4.0628,-0.8574,-6.1975,0.1141,9.9968,34.6328,35.3803,36.5717,35.5394,37.0444,39.3688,33.0782,34.3359,35.4831,33.5719,35.8308,39.3679,41.37,52.9,59.67,11.81,19.6,-0.0217,-7.5769,-1.5371,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,002353.SZ,杰瑞股份,12,124.47,8.451685980656976,化工机械,51.363636,tail_profit_v1,1.4090260208371512,1.5079537054200702,45.89388251048086,51.363636,72.85777596382697,0.14784351311318458,62.301003417461494,13.353562008591137,93.60576923076924,1.068530569615156,5.105975736763591,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,67.23,61.2,-3.2334,-1.1446,2.473,-0.7001,3.5049,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1141,9.9968,120.4454,123.0453,127.5481,123.5986,128.8325,136.9164,115.039,119.4134,123.47,116.756,124.612,136.913,41.85,52.73,59.58,11.94,20.16,0.0054,-7.5769,-1.51,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,603799.SH,华友钴业,13,39.37,8.726871030102167,小金属,49.772727,tail_profit_v1,1.7477200772800372,1.7596315218148977,48.36565361986084,49.772727,72.89473684210526,0.0,49.358884429717165,36.83199484941271,85.23809523809514,0.7874015748031482,1.268970247792156,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,65.77,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.4402,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1141,9.9968,38.097,38.9194,40.2299,39.0944,40.7244,43.3068,36.387,37.7706,39.0537,36.93,39.4149,43.3057,41.13,52.38,59.32,11.68,19.23,-0.0593,-7.5769,-1.5747,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,600206.SH,有研新材,14,39.17,9.19988848620017,半导体,45.681818,tail_profit_v1,0.9033327540808296,1.90991953067449,70.74512654581406,45.681818,72.38171760597479,2.0520769445218887,86.34343389185781,18.117807023309624,97.45403111739743,0.4595353586928752,6.0559566787003805,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、板块强、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,61.73,61.2,-3.2334,-1.1062,2.473,-0.7001,3.7175,9.9968,-7.5769,-4.0625,-0.8574,-6.1975,0.1509,9.9967,37.9035,38.7367,40.1387,38.8958,40.6261,43.0857,36.2021,37.5787,38.8342,36.7424,39.2291,43.0857,40.96,54.73,58.6,11.78,19.4,0.0278,-7.5769,-1.4876,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,002957.SZ,科瑞技术,15,35.58,8.574916081782092,专用机械,43.863636,tail_profit_v1,1.28888008562637,0.8338620378478563,59.825261670818065,43.863636,72.54557602428407,1.3966432712847265,95.33767569574657,11.032372821319985,96.97452229299356,0.534007869589681,5.850852836176101,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.28,61.2,-3.2334,-1.1446,2.473,-0.7001,3.5049,9.9995,-7.5769,-4.0628,-0.8574,-6.1975,0.1141,9.9968,34.4296,35.1728,36.4599,35.3309,36.827,39.1378,32.8841,34.1345,35.2749,33.3749,35.6206,39.1369,41.61,53.24,59.86,11.96,20.54,0.0612,-7.5769,-1.4542,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,600338.SH,西藏珠峰,16,12.12,8.407871198568873,铅锌,43.636364,tail_profit_v1,1.6653883673335377,0.5206345989455383,35.557634640867605,43.636364,72.89473684210526,0.0,44.62046730635607,27.14204189994785,89.91596638655453,0.990099009900991,2.682857949731709,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,66.44,61.2,-3.2334,-1.1446,2.473,-0.7001,3.4402,9.9995,-7.5769,-4.0625,-0.8034,-6.1975,0.1141,9.9968,11.7281,11.9813,12.4197,12.0351,12.537,13.3319,11.2017,11.6276,12.0226,11.3689,12.1338,13.3316,41.38,52.44,59.52,11.94,20.2,-0.0097,-7.5769,-1.5251,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,001399.SZ,惠科股份,17,27.78,9.629044988161017,元器件,38.181818,tail_profit_v1,1.3241305695150651,2.5277822995316,78.13954443788631,38.181818,72.30420803389688,2.362115232833477,99.65930769230769,40.85714285714286,98.22134387351778,0.3239740820734305,6.219729798623486,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、资金强、板块强,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,58.13,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.7214,9.9968,-7.5682,-4.0625,-0.8574,-6.1975,0.1509,9.9967,26.8818,27.462,28.3867,27.5855,28.8138,30.5571,25.6776,26.6514,27.5418,26.0583,27.8219,30.5571,40.16,55.32,58.49,11.97,18.84,-0.0003,-7.5682,-1.5139,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,603688.SH,石英股份,18,48.71,8.485523385300663,矿物制品,37.045455,tail_profit_v1,0.9896636807072108,0.5627984834800648,43.21128575128689,37.045455,72.80253194232797,0.3688195991091291,67.26176348110441,10.018910363489782,95.25547445255474,0.8006569492917226,5.3644819381354125,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,64.65,61.2,-3.2334,-1.1446,2.473,-0.7001,3.5049,9.9995,-7.5769,-4.0628,-0.8034,-6.1975,0.1141,9.9968,47.135,48.1525,49.9146,48.369,50.4172,53.5808,45.0193,46.731,48.3187,45.6912,48.7656,53.5794,40.71,52.71,59.88,12.17,20.31,-0.0028,-7.5769,-1.5181,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,000676.SZ,智度股份,19,6.92,9.14826498422714,互联网,27.5,tail_profit_v1,2.2361364278940146,0.7735536971649584,50.347977145549564,27.5,72.89473684210526,0.0,44.695038523950885,86.27398789724711,92.06349206349208,0.7225433526011571,2.619871478002977,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,58.61,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.5049,9.9968,-7.5769,-4.0625,-0.8574,-6.1975,0.1141,9.9967,6.6962,6.8408,7.0711,6.8716,7.1625,7.6118,6.3957,6.6389,6.8607,6.4911,6.9279,7.6118,40.02,53.85,58.38,11.83,19.12,0.0075,-7.5769,-1.5079,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
,,600988.SH,赤峰黄金,20,35.26,9.333333333333329,黄金,23.409091,tail_profit_v1,0.9961938380026624,1.0504011039780594,53.8969996857081,23.409091,72.89473684210526,0.0,59.09074558901871,86.24078903871975,92.10526315789468,0.5955757231991043,2.1634151052733364,守8%、承接稳,破8%/急回落/板块转弱,涨幅不过热、风险低,t1_ohlc_quantile_v1,混合先验,真实尾盘样本尚少，仍含收盘日线代理先验,76,4,72,56.9,61.2,-3.2334,-1.1446,2.1841,-0.7001,3.534,9.9968,-7.5682,-4.0625,-0.8574,-6.1002,0.1141,9.9967,34.1199,34.8564,36.0301,35.0131,36.5061,38.7849,32.5915,33.8276,34.9577,33.1091,35.3002,38.7848,39.79,54.75,58.27,11.78,19.03,0.0241,-7.5682,-1.4895,已预测触及概率；先涨后跌顺序待T+1分时样本,0,备选观察,
