rank_percentile_min,expected_utility_min_pct,entry_fill_probability_min,exit_fill_probability_min,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,entry_fill_rate,exit_fill_rate_given_entry,round_trip_fill_rate,win_rate_given_entry,mean_net_return_given_entry_pct,mean_net_return_round_trip_pct,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
0.99,0.2,0.95,0.98,1107,157,561,0.5067750677506775,0.47735130076070953,0.3197006322531854,0.04340738002157085,1.2657875866618882,0.980126467931346,0.9852534562211982,0.9656729900632339,0.5170506912442396,0.3261830413864297,0.48073769869436506,0.4624394214750871,-0.020205953387098633
0.99,0.2,0.97,0.95,1032,155,526,0.5096899224806202,0.4792107953439104,0.3318407907560713,0.06092503222649448,1.263762015569735,0.9922480620155039,0.9853515625,0.9777131782945736,0.513671875,0.33443329693385304,0.4880670922301939,0.4655808415973822,-0.022893976372573042
0.99,0.2,0.97,0.98,1012,151,515,0.508893280632411,0.47811732726454254,0.31144228451214445,0.05403847178207544,1.2514953037123921,0.9930830039525692,0.9860696517412936,0.9792490118577075,0.5124378109452736,0.3136115342550151,0.45931341264005066,0.460589775513649,-0.04745199096264367
0.995,0.0,0.95,0.95,1129,271,530,0.46944198405668736,0.44048372723095347,0.0916683642594665,-0.09662778197874733,1.0792211966417287,0.9849424269264836,0.9892086330935251,0.9743135518157662,0.4766187050359712,0.09306976910875689,0.20317598477176152,0.4294705187039355,-0.17101919801002824
0.995,0.0,0.95,0.98,1105,266,518,0.4687782805429864,0.43951414439429604,0.08669090849818067,-0.09662778197874733,1.077303949315423,0.9846153846153847,0.9917279411764706,0.9764705882352941,0.47610294117647056,0.08804545394346475,0.1721904113906299,0.4262732056107509,-0.17900697539125077
0.995,0.0,0.97,0.95,1028,262,485,0.4717898832684825,0.4414354713130211,0.066504294884541,-0.1373466958573264,1.0558128448622488,0.9941634241245136,0.9892367906066536,0.9834630350194552,0.474559686888454,0.0668947310580315,0.17642573208833645,0.4288221049619694,-0.21047506937583052
0.995,0.0,0.97,0.98,1006,258,474,0.4711729622266402,0.44049534569721266,0.0522196026686781,-0.1373466958573264,1.0449740387081448,0.9940357852882704,0.991,0.9850894632206759,0.474,0.05253292028469017,0.1438273665839457,0.4244259888446602,-0.25061000293498875
0.995,0.05,0.95,0.95,1004,240,475,0.47310756972111556,0.4423856239456387,0.12980916973351278,-0.08612355409012817,1.1083137996489913,0.9850597609561753,0.9878665318503539,0.9731075697211156,0.48028311425682507,0.13177796401662978,0.2562215009339272,0.4294871919903158,-0.16623898828396053
0.995,0.05,0.95,0.98,982,236,463,0.4714867617107943,0.44043696675968735,0.12247530952847245,-0.08821013855390669,1.1057095765725793,0.984725050916497,0.9906928645294726,0.9755600814663951,0.4788004136504654,0.12437513335776622,0.21948930475674314,0.4261670278524409,-0.18430213485768102
0.995,0.05,0.97,0.95,912,233,432,0.47368421052631576,0.44145696566758824,0.09532337627224495,-0.11847127117278733,1.0767552280673562,0.9956140350877193,0.987885462555066,0.9835526315789473,0.47577092511013214,0.09574330303996408,0.21954840486096697,0.4257633621900457,-0.20287711741305825
0.995,0.05,0.97,0.98,892,230,421,0.47197309417040356,0.439402736394268,0.07706715381909243,-0.12951705875809383,1.0638005270782585,0.9955156950672646,0.9898648648648649,0.9854260089686099,0.4740990990990991,0.07741430316061985,0.18059601957523375,0.42390078917700114,-0.24591806601033542
0.995,0.1,0.95,0.95,880,208,426,0.48409090909090907,0.4512133554722638,0.21186447801505442,-0.012384823393390754,1.1767566904455748,0.9852272727272727,0.9907727797001153,0.9761363636363637,0.4913494809688581,0.2150412233601475,0.3101754838803817,0.4401866028708134,-0.09179686947411342
0.995,0.1,0.95,0.98,860,204,414,0.4813953488372093,0.44815834638652097,0.18031838299524575,-0.03988301849802678,1.1536470336281759,0.9848837209302326,0.9917355371900827,0.9767441860465116,0.4887839433293979,0.1830859614827761,0.2679450111617992,0.4368240850059032,-0.12065667424501555
0.995,0.1,0.97,0.95,800,201,390,0.4875,0.45300577929930336,0.19143907080613995,-0.08364656615243415,1.1541236093794398,0.99625,0.9912170639899623,0.9875,0.4893350062735257,0.19215966956701624,0.2824699451201418,0.43939300180018004,-0.12271728632799156
0.995,0.1,0.97,0.98,783,198,380,0.48531289910600256,0.4504635007181151,0.1567120346096182,-0.08803876333363636,1.1280119485521356,0.9961685823754789,0.9910256410256411,0.9872286079182631,0.48717948717948717,0.15731477320427056,0.2492956314350984,0.43661929712244757,-0.15953892245821474
0.995,0.2,0.95,0.95,711,161,353,0.4964838255977497,0.4598503100363376,0.28093951460235184,0.0,1.2278889887210636,0.980309423347398,0.9899569583931134,0.9704641350210971,0.5064562410329986,0.2865824890706917,0.3909391230177858,0.4530142995014789,-0.04362844992959519
0.995,0.2,0.95,0.98,694,157,344,0.4956772334293948,0.4586053293614446,0.2749514175103539,0.0,1.2296188734028706,0.9798270893371758,0.9911764705882353,0.9711815561959655,0.5058823529411764,0.28061218198850824,0.37213098479552753,0.4509480109872212,-0.05057514210070016
0.995,0.2,0.97,0.95,647,155,324,0.500772797527048,0.4623550815943209,0.2655724743431564,0.002274165317634136,1.2070385840599167,0.9953632148377125,0.9906832298136646,0.9860896445131375,0.5031055900621118,0.2668096131987922,0.3633626816614768,0.4543717757009346,-0.0808006760421574
0.995,0.2,0.97,0.98,631,151,315,0.49920760697305866,0.4603181955402383,0.24187258285801422,0.0,1.1920309634381303,0.9952456418383518,0.9904458598726115,0.9857369255150554,0.5015923566878981,0.24302802513281363,0.3418353694266993,0.45144369893417857,-0.11751781380022475
