score,decile,direction,events,trade_days,wins,win_rate,win_rate_wilson_lower,mean_net_return_pct,median_net_return_pct,profit_factor,win_rate_day_clustered_lower,mean_net_return_day_clustered_lower_pct
conservative_probability,7,10_is_highest,154938,725,61044,0.3939898540061186,0.3915594579610142,-0.7856301866830048,-0.642565185013205,0.5745749698103014,,
conservative_probability,8,10_is_highest,155425,725,63064,0.4057519704037317,0.40331313733335805,-0.6484776187650744,-0.6032699184872867,0.6344664252636025,,
conservative_probability,9,10_is_highest,154912,725,64459,0.41610075397645113,0.4136483033245965,-0.556838395611842,-0.5519906593743404,0.6807618359650854,,
conservative_probability,10,10_is_highest,157521,725,66718,0.42354987588956394,0.4211116446399913,-0.5167059238744944,-0.5429904113764703,0.7134700471079306,,
market_probability,6,10_is_highest,1551890,725,524361,0.33788541713652387,0.33714165477838437,-2.0695398142209664,-1.1668401691766137,0.30938226188255946,,
cross_section_probability,1,10_is_highest,152955,725,20446,0.13367330260534144,0.13197708676211897,-6.698742619880505,-10.0,0.03931185601721665,,
cross_section_probability,2,10_is_highest,155408,725,37494,0.24126171110882322,0.23914095615769396,-4.020474595051575,-2.0797206707467986,0.10688825462366558,,
cross_section_probability,3,10_is_highest,154929,725,46112,0.2976331093597713,0.29536145715537904,-2.715532720635811,-1.2367292017003981,0.1837336228097457,,
cross_section_probability,4,10_is_highest,155434,725,52032,0.33475301414105024,0.3324111192569472,-1.9301543695573844,-0.9571955400222651,0.2748290915833339,,
cross_section_probability,5,10_is_highest,155953,725,56241,0.36062788147711167,0.3582481565002869,-1.4064206596888063,-0.802543613459866,0.3743993062013255,,
cross_section_probability,6,10_is_highest,154415,725,58640,0.3797558527345141,0.3773381948505565,-1.0795659534647146,-0.7320490316186699,0.4683426087261775,,
cross_section_probability,7,10_is_highest,154938,725,60950,0.3933831597154991,0.3909534360478019,-0.836869386483024,-0.7059464540301039,0.5643944209315054,,
cross_section_probability,8,10_is_highest,155425,725,62190,0.40012867942737657,0.39769551729636576,-0.7337241429813882,-0.719900469900475,0.6209163479433158,,
cross_section_probability,9,10_is_highest,154912,725,63437,0.40950346002891963,0.4070569914288347,-0.6799210511877822,-0.7529397786526446,0.6686350174681719,,
cross_section_probability,10,10_is_highest,157521,725,66819,0.4241910602395871,0.4217523255756786,-0.6760057020620502,-0.7907883912556866,0.7158280321625247,,
severe_loss_safety,1,10_is_highest,152955,725,20623,0.13483050570429211,0.13312803950616967,-6.763364253750072,-10.0,0.06045517419072006,,
severe_loss_safety,2,10_is_highest,155408,725,38353,0.24678909708637908,0.24465182787736203,-4.221054117816739,-4.018375129078811,0.169785729477945,,
severe_loss_safety,3,10_is_highest,154929,725,47993,0.3097741546127581,0.3074763933033753,-2.861859358291897,-2.1805035796942427,0.27518278337615965,,
severe_loss_safety,4,10_is_highest,155434,725,53742,0.345754468134385,0.3433938604746795,-2.031252616126185,-1.5029060078360632,0.36459562737105,,
severe_loss_safety,5,10_is_highest,155953,725,58250,0.37350996774669293,0.37111229201771206,-1.4343641013479949,-1.1077629267284226,0.4590249947314746,,
severe_loss_safety,6,10_is_highest,154415,725,60470,0.39160703299549915,0.3891751971432331,-1.0356806961232023,-0.8364265604525354,0.5321698627277011,,
severe_loss_safety,7,10_is_highest,154938,725,62405,0.40277401283093883,0.40033432013051323,-0.7694797355801543,-0.6694100142927426,0.5899487205968008,,
severe_loss_safety,8,10_is_highest,155425,725,62741,0.40367379765160044,0.4012370215765734,-0.646162319464171,-0.5624535039428555,0.5982699735130088,,
severe_loss_safety,9,10_is_highest,154912,725,60998,0.3937590373889692,0.3913286929869757,-0.5817895376046536,-0.49955516411332423,0.5686356898514467,,
severe_loss_safety,10,10_is_highest,157521,725,58786,0.3731946851530907,0.3708093723754393,-0.4362327997458733,-0.41179607257672535,0.5282107794162856,,
learned_rank,1,10_is_highest,152953,725,20899,0.13663674462089662,0.13492459530923182,-6.698711194493403,-10.0,0.05173222660076987,,
learned_rank,2,10_is_highest,155292,725,36475,0.23488009684980551,0.23277823005652837,-4.388672537264499,-3.5136644532628156,0.12714633109393877,,
learned_rank,3,10_is_highest,155009,725,44964,0.29007347960441004,0.2878196304889717,-3.094761074634805,-1.8688489872700496,0.20468423780957787,,
learned_rank,4,10_is_highest,155298,725,51523,0.3317685997244008,0.3294310054762034,-2.1406340368826373,-1.270638347827274,0.3012254935357959,,
learned_rank,5,10_is_highest,156179,725,56222,0.35998437690086377,0.3576073162501838,-1.4868808028403557,-0.9531615727267626,0.4042790427736125,,
learned_rank,6,10_is_highest,154265,725,58894,0.38177162674618353,0.37935027504904945,-1.0047923823185854,-0.7559980669736563,0.5141727911817677,,
learned_rank,7,10_is_highest,155101,725,61778,0.39830819917344185,0.39587440905989074,-0.688944435154186,-0.6186896063577638,0.6153074476897199,,
learned_rank,8,10_is_highest,155212,725,63637,0.4100005154240651,0.40755594399019296,-0.4974733104846356,-0.5375913728363932,0.6911760996817918,,
learned_rank,9,10_is_highest,155085,725,64486,0.4158106844633588,0.41335985421681826,-0.3906100613905846,-0.485643152960896,0.7437491250337966,,
learned_rank,10,10_is_highest,157496,725,65483,0.41577563874638085,0.413343653978566,-0.390873519235734,-0.454352721393225,0.7404758382487007,,
selection_score,1,10_is_highest,152948,725,19607,0.1281938959646416,0.12652782403582113,-6.882922750794207,-10.0,0.04614496231378264,,
selection_score,2,10_is_highest,155399,725,36106,0.23234383747643164,0.23025069347337385,-4.4298585300789375,-3.5999934571735723,0.12435879348248835,,
selection_score,3,10_is_highest,154929,725,45050,0.2907783565375107,0.2885222891568361,-3.0664237145187854,-1.8582639776019314,0.2095317699858186,,
selection_score,4,10_is_highest,155437,725,51492,0.33127247695207707,0.32893682117122536,-2.131660173730196,-1.2510607948752082,0.30531014960654596,,
selection_score,5,10_is_highest,155967,725,55961,0.3588002590291536,0.3564233369683963,-1.4752181286950437,-0.9375477463712532,0.4078940128722525,,
selection_score,6,10_is_highest,154388,725,58913,0.3815905381247247,0.3791703744640439,-0.9732387250273365,-0.7353915281034737,0.5227424300478166,,
